Timestamp,TradeID,Direction,Entry,Exit,Outcome,Pips,HighTouch,LowTouch
2025-06-15 13:12:13,Jump 10 Index_20250615120759,SELL,89270.01,89009.67,TP1,260.3399999999965,89270.45,89140.06
2025-06-15 16:33:07,Jump 10 Index_20250615120759,SELL,89270.01,88929.08898,TP2,340.9210199999943,89270.45,89140.06
2025-06-15 17:20:28,Jump 10 Index_20250615120759,SELL,89270.01,88798.69898,TP3,471.31101999999373,89270.45,89140.06
