Timestamp,TradeID,Symbol,Direction,Entry,Exit,Outcome,Pips,DonchianUpper,DonchianLower,MACD_Main,MACD_Signal,MACD_Hist,RSI,RSI_Status,SMA_9,SMA_21,SMA_Alignment
2025-06-18 20:02:07,Jump 50 Index_20250618195652,Jump 50 Index,BUY,36110.15,36006.8,SL without TP (Loss),-103.34999999999854,36414.6,36104.55,-74.34396532956453,-70.23372264528406,-4.110242684280465,27.709816179599798,Oversold,36145.04777777778,36247.828571428574,Bearish
2025-06-18 20:04:13,Volatility 10 Index_20250618195756,Volatility 10 Index,BUY,6391.573,6389.875,SL without TP (Loss),-1.6980000000003201,6396.489,6391.395,-0.5907090567052364,-0.35841115728559403,-0.2322978994196424,36.052363065432466,Neutral,6393.486999999999,6394.2096190476195,Bearish
2025-06-18 20:09:29,Volatility 10 Index_20250618200544,Volatility 10 Index,BUY,6389.097,6386.723,SL without TP (Loss),-2.3739999999997963,6396.041,6388.919,-1.2362807539357163,-0.8957898438148144,-0.34049091012090194,31.977017572321998,Neutral,6390.791111111111,6392.677999999999,Bearish
2025-06-18 20:19:17,Volatility 100 (1s) Index_20250618201303,Volatility 100 (1s) Index,SELL,498.83,500.50667,SL without TP (Loss),-1.6766700000000014,498.83,493.8,0.9779607743648739,0.8251224475264378,0.15283832683843612,73.45179612651832,Overbought,497.7566666666666,496.48761904761903,Bullish
2025-06-18 20:20:54,GBPUSD_20250618201407,GBPUSD,SELL,1.3413599999999999,1.34163,SL without TP (Loss),-0.0002700000000002145,1.34142,1.34062,9.3788676603479e-05,6.6345790719084e-05,2.7442885884395e-05,59.25726554162889,Neutral,1.3412000000000002,1.3411019047619046,Bullish
2025-06-18 20:24:06,USDNOK_20250618201812,USDNOK,BUY,9.97917,9.97692,SL without TP (Loss),-0.0022500000000000853,9.98165,9.9749,-0.0017487013149519726,-0.001556428958221127,-0.00019227235673084566,35.23489275105685,Neutral,9.976659999999999,9.97783380952381,Bearish
2025-06-18 20:25:44,Volatility 50 Index_20250618200717,Volatility 50 Index,SELL,138.4286,138.58697,SL without TP (Loss),-0.15837000000001922,138.4286,137.9535,0.03158965087482102,0.023932566492895435,0.007657084381925583,60.58078066557156,Neutral,138.26728888888888,138.23097142857142,Bullish
2025-06-18 20:27:22,EURUSD_20250618201947,EURUSD,SELL,1.14782,1.14805,SL without TP (Loss),-0.00022999999999995246,1.14789,1.14721,0.0001421135161674414,0.00013292071057732254,9.192805590118854e-06,61.067183681043105,Neutral,1.1477244444444443,1.147637142857143,Bullish
2025-06-18 20:27:57,Jump 25 Index_20250618202614,Jump 25 Index,BUY,131995.54,131880.87667,SL without TP (Loss),-114.66333000001032,132330.47,131986.48,-35.22535612853244,-17.91174463462109,-17.31361149391135,35.0152493803149,Neutral,132046.13888888888,132143.41285714286,Bearish
2025-06-18 20:39:11,USDSGD_20250618203804,USDSGD,BUY,1.28514,1.28505,SL without TP (Loss),-8.999999999992347e-05,1.28521,1.2849300000000001,-7.400229333431874e-05,-7.044829804880805e-05,-3.5539952855106896e-06,37.77169263950692,Neutral,1.2850588888888888,1.2850733333333335,Bearish
2025-06-18 20:40:15,GBPUSD_20250618202154,GBPUSD,SELL,1.34171,1.34203,SL without TP (Loss),-0.000320000000000098,1.34177,1.34082,0.0001908739785903002,0.00014579017498165118,4.5083803608649014e-05,67.49071505380412,Neutral,1.3415766666666666,1.3413419047619048,Bullish
2025-06-18 20:40:49,EURZAR_20250617022317,EURZAR,BUY,20.60882,20.68507,TP4,0.07624999999999815,20.6152,20.5972,-0.0015781085595101274,-0.0009399212659768451,-0.0006381872935332823,36.96073250400137,Neutral,20.602755555555557,20.605509523809523,Bearish
2025-06-18 20:41:23,XAGUSD_20250618200059,XAGUSD,BUY,36.593,36.724,TP1,0.13099999999999312,36.707,36.576,-0.016718937992607152,-0.015215406359241844,-0.0015035316333653088,37.173732890836924,Neutral,36.604000000000006,36.628523809523806,Bearish
2025-06-18 20:47:31,Volatility 75 Index_20250618200821,Volatility 75 Index,SELL,106323.6,106611.37333,SL without TP (Loss),-287.77332999999635,106323.6,105460.28,188.81449393648654,165.82058942315774,22.9939045133288,70.59107787211519,Overbought,106083.04999999999,105873.72857142857,Bullish
2025-06-18 20:50:10,USDZAR_20250618202258,USDZAR,BUY,18.01222,18.02104,TP1,0.00882000000000005,18.0099,18.00108,-0.0013176786052113698,-0.0010933684222184487,-0.00022431018299292108,40.134933997951705,Neutral,18.004095555555555,18.004347619047618,Bearish
2025-06-18 21:01:14,EURJPY_20250618205040,EURJPY,SELL,166.626,166.562,TP1,0.06399999999999295,166.636,166.572,0.012476292691076196,0.010337763055665522,0.002138529635410674,66.06057647082893,Neutral,166.61455555555554,166.60157142857145,Bullish
2025-06-18 21:01:51,USDZAR_20250618202258,USDZAR,BUY,18.01222,18.02649,TP2,0.014269999999999783,18.0099,18.00108,-0.0013176786052113698,-0.0010933684222184487,-0.00022431018299292108,40.134933997951705,Neutral,18.004095555555555,18.004347619047618,Bearish
2025-06-18 21:02:27,EURGBP_20250618200237,EURGBP,SELL,0.85568,0.85518,TP1,0.0004999999999999449,0.85573,0.85523,7.192495450081271e-05,4.3648949479656796e-05,2.8276005021155914e-05,66.25223343680506,Neutral,0.8555822222222222,0.8554609523809524,Bullish
2025-06-18 21:03:03,GBPJPY_20250618205145,GBPJPY,SELL,194.808,194.701,TP1,0.10699999999999932,194.817,194.71,0.020611951199356326,0.013553146089750737,0.00705880510960559,77.85499211827667,Overbought,194.75866666666667,194.74028571428573,Bullish
